    0  -90      4.700000
    0  -85      4.664156
    0  -80      4.654330
    0  -75      4.718070
    0  -70      4.800000
    0  -65      4.900000
    0  -60      5.000000
    0  -55      5.116734
    0  -50      5.300000
    0  -45      5.687993
    0  -40      6.060294
    0  -35      6.511847
    0  -30      6.998018
    0  -25      7.600000
    0  -20      8.000000
    0  -15      8.541132
    0  -10      9.231618
    0   -5      9.950000
    0    0     10.459560
    0    5     10.700000
    0   10     10.200000
    0   15      9.231316
    0   20      8.570468
    0   25      8.057683
    0   30      7.466968
    0   35      6.879181
    0   40      6.261847
    0   45      5.579827
    0   50      5.000000
    0   55      4.650000
    0   60      4.425457
    0   65      4.282920
    0   70      4.200000
    0   75      4.119512
    0   80      4.094959
    0   85      4.141245
    0   90      4.250000
    5  -90      4.700000
    5  -85      4.665935
    5  -80      4.657735
    5  -75      4.685715
    5  -70      4.781035
    5  -65      4.870222
    5  -60      4.999875
    5  -55      5.153239
    5  -50      5.396445
    5  -45      5.673614
    5  -40      6.034357
    5  -35      6.470944
    5  -30      6.890956
    5  -25      7.450000
    5  -20      7.800000
    5  -15      8.200000
    5  -10      8.793933
    5   -5      9.500000
    5    0     10.050000
    5    5     10.300000
    5   10     10.100000
    5   15      9.500000
    5   20      8.850000
    5   25      8.084839
    5   30      7.490961
    5   35      6.768539
    5   40      6.200000
    5   45      5.485235
    5   50      4.970000
    5   55      4.624526
    5   60      4.327500
    5   65      4.204277
    5   70      4.167140
    5   75      4.110803
    5   80      4.095925
    5   85      4.141752
    5   90      4.250000
   10  -90      4.700000
   10  -85      4.667569
   10  -80      4.660552
   10  -75      4.654593
   10  -70      4.739183
   10  -65      4.843055
   10  -60      4.979284
   10  -55      5.139706
   10  -50      5.373528
   10  -45      5.644009
   10  -40      5.983900
   10  -35      6.365735
   10  -30      6.734871
   10  -25      7.246364
   10  -20      7.634535
   10  -15      8.068725
   10  -10      8.683334
   10   -5      9.150000
   10    0      9.600000
   10    5      9.800000
   10   10      9.800000
   10   15      9.300000
   10   20      8.590520
   10   25      7.961808
   10   30      7.444041
   10   35      6.680698
   10   40      6.165308
   10   45      5.485075
   10   50      4.930846
   10   55      4.527180
   10   60      4.242130
   10   65      4.137592
   10   70      4.138083
   10   75      4.091764
   10   80      4.098350
   10   85      4.143040
   10   90      4.250000
   15  -90      4.700000
   15  -85      4.669065
   15  -80      4.662809
   15  -75      4.624619
   15  -70      4.698593
   15  -65      4.821770
   15  -60      4.953347
   15  -55      5.116713
   15  -50      5.332860
   15  -45      5.586074
   15  -40      5.898101
   15  -35      6.229682
   15  -30      6.580112
   15  -25      6.995702
   15  -20      7.436448
   15  -15      7.873670
   15  -10      8.341671
   15   -5      8.615440
   15    0      8.800000
   15    5      8.930000
   15   10      9.000000
   15   15      8.600000
   15   20      8.226019
   15   25      7.700000
   15   30      7.250000
   15   35      6.634264
   15   40      6.050000
   15   45      5.441767
   15   50      4.930000
   15   55      4.506159
   15   60      4.173446
   15   65      4.085746
   15   70      4.113796
   15   75      4.076844
   15   80      4.102214
   15   85      4.145099
   15   90      4.250000
   20  -90      4.700000
   20  -85      4.670434
   20  -80      4.664552
   20  -75      4.595657
   20  -70      4.659040
   20  -65      4.771924
   20  -60      4.930644
   20  -55      5.090037
   20  -50      5.279082
   20  -45      5.500048
   20  -40      5.781772
   20  -35      6.113354
   20  -30      6.464862
   20  -25      6.848621
   20  -20      7.157498
   20  -15      7.505994
   20  -10      7.900000
   20   -5      8.000000
   20    0      8.060000
   20    5      8.100000
   20   10      8.000000
   20   15      7.900000
   20   20      7.650000
   20   25      7.300000
   20   30      6.900000
   20   35      6.242411
   20   40      5.795726
   20   45      5.299878
   20   50      4.839426
   20   55      4.435985
   20   60      4.124790
   20   65      4.051036
   20   70      4.095173
   20   75      4.066537
   20   80      4.107488
   20   85      4.147912
   20   90      4.250000
   25  -90      4.700000
   25  -85      4.671692
   25  -80      4.665842
   25  -75      4.567530
   25  -70      4.620233
   25  -65      4.719532
   25  -60      4.867194
   25  -55      5.019234
   25  -50      5.171804
   25  -45      5.353495
   25  -40      5.649178
   25  -35      5.956316
   25  -30      6.322121
   25  -25      6.629214
   25  -20      6.844827
   25  -15      7.200000
   25  -10      7.350000
   25   -5      7.350000
   25    0      7.320000
   25    5      7.270000
   25   10      7.220000
   25   15      7.050000
   25   20      6.900000
   25   25      6.541298
   25   30      6.327229
   25   35      5.803942
   25   40      5.540000
   25   45      5.091537
   25   50      4.723616
   25   55      4.357203
   25   60      4.098525
   25   65      4.035048
   25   70      4.083000
   25   75      4.061261
   25   80      4.114128
   25   85      4.151460
   25   90      4.250000
   30  -90      4.700000
   30  -85      4.672856
   30  -80      4.666754
   30  -75      4.540031
   30  -70      4.581837
   30  -65      4.666805
   30  -60      4.795094
   30  -55      4.908265
   30  -50      5.041273
   30  -45      5.198978
   30  -40      5.480293
   30  -35      5.755627
   30  -30      6.060000
